state,votes,winner,sort
AL,9,B,0
AK,3,B,1
AZ,11,B,2
AR,6,B,3
CA,55,N,4
CO,9,N,5
CT,7,N,6
DE,3,N,7
FL,29,B,8
GA,16,B,9
HI,4,N,10
ID,4,B,11
IL,20,N,12
IN,11,B,13
IA,6,B,14
KS,6,B,15
KY,8,B,16
LA,8,B,17
ME,4,N,18
MD,10,N,19
MA,11,N,20
MI,16,B,21
MN,10,N,22
MS,6,B,23
MO,11,B,24
MT,3,B,25
NE,5,B,26
NV,6,N,27
NH,4,N,28
NJ,14,N,29
NM,5,N,30
NY,29,N,31
NC,15,B,32
ND,3,B,33
OH,18,B,34
OK,7,B,35
OR,7,N,36
PA,20,B,37
RI,4,N,38
SC,9,B,39
SD,3,B,40
TN,11,B,41
TX,38,B,42
UT,6,B,43
VT,3,N,44
VA,13,N,45
WA,12,N,46
WV,5,B,47
WI,10,B,48
WY,3,B,49

